Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
47	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32	16:16:32			16:16:32	16:16:32	16:16:32	16:16:32	16:16:37	16:16:37	16:16:37	16:16:37	16:16:37	16:16:37			16:16:37	16:16:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
48	16:16:38	16:16:38	16:16:38	16:16:38	16:16:38	16:16:38			16:16:38	16:16:38	16:16:38	16:16:38	16:16:42	16:16:42	16:16:42	16:16:42	16:16:42	16:16:42			16:16:42	16:16:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
49	16:16:42	16:16:42	16:16:42	16:16:42	16:16:42	16:16:42			16:16:42	16:16:42	16:16:42	16:16:42	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47			16:16:47	16:16:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
50	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:47	16:16:52	16:16:52	16:16:52	16:16:52	16:16:52	16:16:52	16:16:52	16:16:52	16:16:53	16:16:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
51	16:16:53	16:16:53	16:16:53	16:16:53	16:16:53	16:16:53			16:16:53	16:16:53	16:16:53	16:16:53	16:16:57	16:16:57	16:16:57	16:16:57	16:16:57	16:16:57			16:16:57	16:16:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
52	16:16:57	16:16:57	16:16:57	16:16:57	16:16:57	16:16:57			16:16:57	16:16:57	16:16:57	16:16:57	16:17:01	16:17:01	16:17:01	16:17:01	16:17:01	16:17:01			16:17:02	16:17:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
53	16:17:02	16:17:02	16:17:02	16:17:02	16:17:02	16:17:02			16:17:02	16:17:02	16:17:02	16:17:02	16:17:06	16:17:06	16:17:06	16:17:06	16:17:06	16:17:06			16:17:06	16:17:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
54	16:17:06	16:17:06	16:17:06	16:17:06	16:17:06	16:17:06			16:17:06	16:17:06	16:17:06	16:17:06	16:17:10	16:17:10	16:17:10	16:17:10	16:17:10	16:17:10			16:17:11	16:17:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
55	16:17:11	16:17:11	16:17:11	16:17:11	16:17:11	16:17:11			16:17:11	16:17:11	16:17:11	16:17:11	16:17:15	16:17:15	16:17:15	16:17:15	16:17:15	16:17:15			16:17:15	16:17:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
56	16:17:15	16:17:15	16:17:15	16:17:15	16:17:15	16:17:15			16:17:15	16:17:15	16:17:15	16:17:15	16:17:19	16:17:19	16:17:19	16:17:19	16:17:19	16:17:19			16:17:19	16:17:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
57	16:17:19	16:17:19	16:17:19	16:17:19	16:17:19	16:17:19			16:17:19	16:17:19	16:17:19	16:17:19	16:17:23	16:17:23	16:17:23	16:17:23	16:17:23	16:17:23			16:17:23	16:17:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
58	16:17:24	16:17:24	16:17:24	16:17:24	16:17:24	16:17:24			16:17:24	16:17:24	16:17:24	16:17:24	16:17:27	16:17:27	16:17:27	16:17:27	16:17:27	16:17:27			16:17:28	16:17:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
59	16:17:28	16:17:28	16:17:28	16:17:28	16:17:28	16:17:28			16:17:28	16:17:28	16:17:28	16:17:28	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32			16:17:32	16:17:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
60	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:32	16:17:36	16:17:36	16:17:36	16:17:36	16:17:36	16:17:36	16:17:36	16:17:36	16:17:37	16:17:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
61	16:17:37	16:17:37	16:17:37	16:17:37	16:17:37	16:17:37			16:17:37	16:17:37	16:17:37	16:17:37	16:17:41	16:17:41	16:17:41	16:17:41	16:17:41	16:17:41			16:17:41	16:17:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
62	16:17:41	16:17:41	16:17:41	16:17:41	16:17:41	16:17:41			16:17:41	16:17:41	16:17:41	16:17:41	16:17:46	16:17:46	16:17:46	16:17:46	16:17:46	16:17:46			16:17:46	16:17:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
63	16:17:46	16:17:46	16:17:46	16:17:46	16:17:46	16:17:46			16:17:46	16:17:46	16:17:46	16:17:46	16:17:50	16:17:50	16:17:50	16:17:50	16:17:50	16:17:50			16:17:51	16:17:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
