VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
heavy  -28080.0   35000.0   -0.0   0.0
defaultVehicleType  -39391.0   19000.0   -0.0   0.0
heavy  -23760.0   23000.0   -0.0   0.0
defaultVehicleType  -37951.0   19000.0   -0.0   0.0
defaultVehicleType  -37743.0   19000.0   -0.0   0.0
defaultVehicleType  -39391.0   19000.0   -0.0   0.0
defaultVehicleType  -39031.0   19000.0   -0.0   0.0
defaultVehicleType  -35943.0   19000.0   -0.0   0.0
defaultVehicleType  -38671.0   19000.0   -0.0   0.0
defaultVehicleType  -38311.0   19000.0   -0.0   0.0
defaultVehicleType  -39751.0   19000.0   -0.0   0.0
defaultVehicleType  -54010.0   27000.0   -0.0   0.0
heavy  -28029.0   43000.0   -0.0   0.0
heavy  -32883.0   43000.0   -0.0   0.0
heavy  -26229.0   27000.0   -0.0   0.0
defaultVehicleType  -37470.0   19000.0   -0.0   0.0
heavy  -15388.0   27000.0   -0.0   0.0
defaultVehicleType  -40095.0   19000.0   -0.0   0.0
defaultVehicleType  -34590.0   19000.0   -0.0   0.0
heavy  -31084.0   39000.0   -0.0   0.0
defaultVehicleType  -41175.0   19000.0   -0.0   0.0
defaultVehicleType  -33510.0   19000.0   -0.0   0.0
defaultVehicleType  -41895.0   19000.0   -0.0   0.0
defaultVehicleType  -38932.0   19000.0   -0.0   0.0
defaultVehicleType  -42255.0   19000.0   -0.0   0.0
defaultVehicleType  -36020.0   19000.0   -0.0   0.0
defaultVehicleType  -39015.0   19000.0   -0.0   0.0
defaultVehicleType  -41060.0   23000.0   -0.0   0.0
defaultVehicleType  -44055.0   27000.0   -0.0   0.0
defaultVehicleType  -37820.0   19000.0   -0.0   0.0
defaultVehicleType  -40815.0   19000.0   -0.0   0.0
defaultVehicleType  -34972.0   19000.0   -0.0   0.0
defaultVehicleType  -43465.0   31000.0   -0.0   0.0
defaultVehicleType  -38900.0   19000.0   -0.0   0.0
defaultVehicleType  -49704.0   31000.0   -0.0   0.0
defaultVehicleType  -36020.0   19000.0   -0.0   0.0
defaultVehicleType  -44536.0   31000.0   -0.0   0.0
defaultVehicleType  -52028.0   27000.0   -0.0   0.0
defaultVehicleType  -50588.0   31000.0   -0.0   0.0
defaultVehicleType  -47684.0   35000.0   -0.0   0.0
defaultVehicleType  -49508.0   27000.0   -0.0   0.0
defaultVehicleType  -49482.0   27000.0   -0.0   0.0
defaultVehicleType  -49124.0   27000.0   -0.0   0.0
defaultVehicleType  -48926.0   35000.0   -0.0   0.0
defaultVehicleType  -52388.0   27000.0   -0.0   0.0
defaultVehicleType  -47289.0   27000.0   -0.0   0.0
heavy  -26959.0   35000.0   -0.0   0.0
defaultVehicleType  -45849.0   27000.0   -0.0   0.0
heavy  -31059.0   35000.0   -0.0   0.0
heavy  -27175.0   27000.0   -0.0   0.0
heavy  -26138.0   23000.0   -0.0   0.0
heavy  -27635.0   31000.0   -0.0   0.0
defaultVehicleType  -37100.0   19000.0   -0.0   0.0
defaultVehicleType  -41643.0   23000.0   -0.0   0.0
defaultVehicleType  -35300.0   19000.0   -0.0   0.0
defaultVehicleType  -48808.0   27000.0   -0.0   0.0
defaultVehicleType  -39620.0   19000.0   -0.0   0.0
defaultVehicleType  -47456.0   27000.0   -0.0   0.0
defaultVehicleType  -44487.0   23000.0   -0.0   0.0
defaultVehicleType  -47851.0   31000.0   -0.0   0.0
defaultVehicleType  -46647.0   23000.0   -0.0   0.0
defaultVehicleType  -43718.0   23000.0   -0.0   0.0
defaultVehicleType  -45927.0   31000.0   -0.0   0.0
defaultVehicleType  -45624.0   27000.0   -0.0   0.0
