VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_1_veh_carrier_1_heavyVehicle_2	heavy	1	freight_1_veh_carrier_1_heavyVehicle_2	-29619.0	39000.0	-4107.894000000001
freight_15_veh_carrier_15_heavyVehicle_0	heavy	1	freight_15_veh_carrier_15_heavyVehicle_0	-23360.0	31000.0	-3328.758
freight_1_veh_carrier_1_heavyVehicle_1	heavy	1	freight_1_veh_carrier_1_heavyVehicle_1	-14090.0	23000.0	-1250.7819999999997
freight_36_veh_carrier_36_heavyVehicle_4	heavy	3	freight_36_veh_carrier_36_heavyVehicle_4	-29302.0	55000.0	-5747.518000000002
freight_31_veh_carrier_31_heavyVehicle_0	heavy	3	freight_31_veh_carrier_31_heavyVehicle_0	-13404.0	15000.0	-734.63
freight_36_veh_carrier_36_heavyVehicle_3	heavy	3	freight_36_veh_carrier_36_heavyVehicle_3	-23166.0	27000.0	-2072.538
freight_31_veh_carrier_31_heavyVehicle_1	heavy	3	freight_31_veh_carrier_31_heavyVehicle_1	-26840.0	35000.0	-3464.7780000000016
freight_31_veh_carrier_31_heavyVehicle_2	heavy	3	freight_31_veh_carrier_31_heavyVehicle_2	-21566.0	23000.0	-1218.438
freight_5_veh_carrier_5_heavyVehicle_3	heavy	5	freight_5_veh_carrier_5_heavyVehicle_3	-14791.0	15000.0	-678.7660000000001
freight_5_veh_carrier_5_heavyVehicle_4	heavy	5	freight_5_veh_carrier_5_heavyVehicle_4	-21782.0	19000.0	-1373.2180000000003
freight_5_veh_carrier_5_heavyVehicle_1	heavy	5	freight_5_veh_carrier_5_heavyVehicle_1	-27911.0	39000.0	-3252.078000000001
freight_5_veh_carrier_5_heavyVehicle_2	heavy	5	freight_5_veh_carrier_5_heavyVehicle_2	-27709.0	43000.0	-4921.866000000002
freight_31_veh_carrier_31_heavyVehicle_3	heavy	3	freight_31_veh_carrier_31_heavyVehicle_3	-28765.0	31000.0	-3955.438
freight_36_veh_carrier_36_heavyVehicle_0	heavy	3	freight_36_veh_carrier_36_heavyVehicle_0	-22086.0	27000.0	-2046.194
freight_31_veh_carrier_31_heavyVehicle_4	heavy	3	freight_31_veh_carrier_31_heavyVehicle_4	-18435.0	31000.0	-1175.5180000000003
freight_5_veh_carrier_5_heavyVehicle_0	heavy	5	freight_5_veh_carrier_5_heavyVehicle_0	-16291.0	19000.0	-816.6739999999999
freight_36_veh_carrier_36_heavyVehicle_2	heavy	3	freight_36_veh_carrier_36_heavyVehicle_2	-18218.0	23000.0	-1432.5739999999998
freight_36_veh_carrier_36_heavyVehicle_1	heavy	3	freight_36_veh_carrier_36_heavyVehicle_1	-28581.0	35000.0	-3702.8020000000006
freight_34_veh_carrier_34_heavyVehicle_0	heavy	3	freight_34_veh_carrier_34_heavyVehicle_0	-24946.0	27000.0	-3190.6419999999994
freight_24_veh_carrier_24_heavyVehicle_3	heavy	2	freight_24_veh_carrier_24_heavyVehicle_3	-22864.0	39000.0	-3076.7340000000013
freight_34_veh_carrier_34_heavyVehicle_1	heavy	3	freight_34_veh_carrier_34_heavyVehicle_1	-30130.0	39000.0	-4888.102
freight_24_veh_carrier_24_heavyVehicle_4	heavy	2	freight_24_veh_carrier_24_heavyVehicle_4	-32741.0	35000.0	-5904.737999999998
freight_34_veh_carrier_34_heavyVehicle_2	heavy	3	freight_34_veh_carrier_34_heavyVehicle_2	-31764.0	39000.0	-6381.19
freight_14_veh_carrier_14_heavyVehicle_4	heavy	1	freight_14_veh_carrier_14_heavyVehicle_4	-9845.0	23000.0	-561.638
freight_14_veh_carrier_14_heavyVehicle_3	heavy	1	freight_14_veh_carrier_14_heavyVehicle_3	-23885.0	31000.0	-2708.2780000000007
freight_14_veh_carrier_14_heavyVehicle_2	heavy	1	freight_14_veh_carrier_14_heavyVehicle_2	-19122.0	19000.0	-1197.3940000000002
